"timestamp","status","rawStatus","battery","charging","temperature","humidity","refreshIntervalMinutes","deepSleepDisabled"
"2026-07-04T01:07:44.722Z","Unknown","","47","false","31.9","66","",""
"2026-07-04T01:13:59.339Z","Unknown","","47","false","31.9","66","",""
"2026-07-04T02:14:56.390Z","Unknown","","70","false","33.8","63.4","",""
"2026-07-04T04:40:24.395Z","Unknown","","80","false","31.4","62.6","",""
"2026-07-04T07:51:39.092Z","Unknown","","73","false","31.9","59.6","",""
"2026-07-04T10:18:59.653Z","Unknown","","73","false","32","57.8","",""
"2026-07-04T12:10:57.336Z","Unknown","","73","false","31.8","62.3","",""
"2026-07-04T14:41:50.669Z","Unknown","","72","false","31.5","63.7","",""
"2026-07-04T16:09:20.414Z","Unknown","","71","false","31.3","66.2","",""
"2026-07-04T18:07:17.887Z","Unknown","","71","false","31","69","",""
"2026-07-04T20:12:52.684Z","Unknown","","71","false","30.9","69","",""
"2026-07-04T22:03:54.295Z","Unknown","","71","false","30.8","68.7","",""
"2026-07-04T23:06:05.914Z","Unknown","","70","false","30.9","69.3","",""
"2026-07-05T00:10:20.905Z","Unknown","","71","false","30.9","69.9","",""
"2026-07-05T05:02:07.561Z","Unknown","","82","false","31.7","62.5","",""
"2026-07-05T08:06:26.363Z","Unknown","","81","false","31","66.3","",""
"2026-07-05T10:25:36.371Z","Unknown","","82","false","31.5","65.7","",""
"2026-07-05T12:21:48.071Z","Unknown","","76","false","31.9","64.9","",""
"2026-07-05T14:48:46.054Z","Unknown","","60","false","31.8","66.6","",""
"2026-07-05T16:14:51.346Z","Unknown","","53","false","31.7","66.8","",""
"2026-07-05T18:10:00.080Z","Unknown","","53","false","30.5","69.7","",""
"2026-07-05T20:19:07.424Z","Unknown","","47","false","31.3","66.5","",""
"2026-07-05T22:07:28.729Z","Unknown","","46","false","30.4","69.1","",""
"2026-07-06T00:13:40.628Z","Unknown","","46","false","30.2","68.7","",""
"2026-07-06T05:17:45.151Z","Unknown","","25","false","32.2","62.2","",""
"2026-07-06T08:39:33.066Z","Unknown","","44","false","34","58.4","",""
"2026-07-06T08:43:26.374Z","Unknown","","57","false","33.7","59","",""
"2026-07-06T08:49:49.731Z","Unknown","","60","false","34","58.4","60","1"
"2026-07-06T10:52:40.347Z","Unknown","","49","false","33.8","58.2","60","1"
"2026-07-06T14:31:34.851Z","Unknown","","49","false","33.8","58.2","60","1"
"2026-07-06T17:48:31.330Z","Unknown","","49","false","33.8","58.2","60","1"
"2026-07-06T20:07:28.579Z","Unknown","","49","false","33.8","58.2","60","1"
"2026-07-06T22:19:55.007Z","Unknown","","92","false","32","66.3","120","1"
"2026-07-07T00:15:34.320Z","Unknown","","89","false","31.6","68.4","120","1"
"2026-07-07T04:59:13.906Z","Unknown","","63","false","31.2","68.7","120","1"
"2026-07-07T08:28:38.798Z","Unknown","","48","false","31.6","65.5","120","1"
"2026-07-07T11:59:12.677Z","Unknown","","33","false","31.5","62.7","120","1"
"2026-07-07T14:53:06.650Z","Unknown","","18","false","31.7","64.1","120","1"
"2026-07-07T17:22:59.508Z","Unknown","","0","false","31.4","64.2","120","1"
"2026-07-07T20:06:23.259Z","Unknown","","0","false","31.4","64.2","120","1"
"2026-07-07T21:37:55.305Z","Unknown","","0","false","31.4","64.2","120","1"
"2026-07-07T23:07:54.697Z","Unknown","","33","false","31.2","66.4","120","1"
"2026-07-08T03:29:39.005Z","Unknown","","3","false","31.2","66.5","120","1"
"2026-07-08T06:34:18.069Z","Unknown","","0","false","31.3","66.1","120","1"
"2026-07-08T09:29:53.495Z","Unknown","","0","false","31.3","66.1","120","1"
"2026-07-18T01:25:47.059Z","Unknown","","95","false","30.5","72.7","60","0"
"2026-07-18T04:41:48.275Z","Unknown","","95","false","31.6","64.8","60","0"
"2026-07-18T04:42:25.910Z","Unknown","","95","false","31.7","64.7","60","0"
"2026-07-18T06:49:40.790Z","Unknown","","95","false","31.8","64.5","60","0"
"2026-07-18T08:27:45.037Z","Unknown","","95","false","31.8","63.8","60","0"
"2026-07-18T10:04:45.471Z","Unknown","","95","false","31.4","64.1","60","0"
"2026-07-18T11:38:56.725Z","Unknown","","95","false","31.2","65.1","60","0"
"2026-07-18T12:39:40.749Z","Unknown","","95","false","31","66.3","60","0"
"2026-07-18T14:10:57.230Z","Unknown","","94","false","30.8","67.7","60","0"
"2026-07-18T15:40:06.564Z","Unknown","","94","false","30.7","67.7","60","0"
"2026-07-18T16:38:58.826Z","Unknown","","95","false","30.6","67.8","60","0"
"2026-07-18T17:42:44.271Z","Unknown","","94","false","30.5","68.4","60","0"
"2026-07-18T18:39:22.104Z","Unknown","","94","false","30.4","68.7","60","0"
"2026-07-18T19:54:49.859Z","Unknown","","94","false","30.3","69.6","60","0"
"2026-07-18T20:34:10.849Z","Unknown","","94","false","30.3","68.8","60","0"
"2026-07-18T21:35:49.319Z","Unknown","","94","false","31","68","60","0"
"2026-07-18T22:33:34.427Z","Unknown","","94","false","30.7","68.1","60","0"
"2026-07-18T23:37:57.693Z","Unknown","","94","false","30.3","69.4","60","0"
"2026-07-19T01:12:09.926Z","Unknown","","94","false","30.8","69","60","0"
"2026-07-19T04:56:04.708Z","Unknown","","94","false","31.5","62.1","60","0"
"2026-07-19T07:51:19.169Z","Unknown","","94","false","32.1","60.4","60","0"
"2026-07-19T09:31:40.545Z","Unknown","","93","false","32.2","57.8","60","0"
"2026-07-19T11:00:19.043Z","Unknown","","94","false","31.7","57.4","60","0"
"2026-07-19T12:39:35.135Z","Unknown","","94","false","31.5","61.8","60","0"
"2026-07-19T14:16:24.647Z","Unknown","","93","false","31.6","65.2","60","0"
"2026-07-19T15:41:10.138Z","Unknown","","93","false","31.2","65.7","60","0"
"2026-07-19T16:38:36.950Z","Unknown","","93","false","31","66","60","0"
"2026-07-19T17:44:17.507Z","Unknown","","93","false","30.8","65.9","60","0"
"2026-07-19T18:41:33.388Z","Unknown","","93","false","30.7","66.4","60","0"
"2026-07-19T19:57:40.600Z","Unknown","","93","false","30.4","67.3","60","0"
"2026-07-19T21:37:06.514Z","Unknown","","93","false","30.7","67.3","60","0"
"2026-07-19T22:36:13.783Z","Unknown","","93","false","30.5","67.9","60","0"
"2026-07-19T23:41:33.003Z","Unknown","","92","false","30.5","67.6","60","0"
"2026-07-20T01:15:34.815Z","Unknown","","92","false","30.6","67.7","60","0"
"2026-07-20T05:23:03.417Z","Unknown","","92","false","31","66.5","60","0"
"2026-07-20T08:29:45.167Z","Unknown","","92","false","31.2","65.9","60","0"
"2026-07-20T11:30:05.498Z","Unknown","","92","false","31.7","65.2","60","0"
"2026-07-20T13:30:44.718Z","Unknown","","91","false","31.4","67.1","60","0"
"2026-07-20T15:33:25.019Z","Unknown","","91","false","31","66.4","60","0"
"2026-07-20T17:12:45.094Z","Unknown","","91","false","30.7","67.3","60","0"
"2026-07-20T17:15:13.347Z","Unknown","","91","false","30.7","67.3","60","0"
"2026-07-20T19:17:42.592Z","Unknown","","91","false","30.5","68.2","60","0"
